date,avg_temper,low_temper,high_temper,rainfall,avg_ws,avg_rehumi,total_sunhine,total_sunradi,avg_landtemper,low_grasstemper,avg_humid,day_soilwater,hq_price,mq_price,shipments,CPI
2006-01-01,0.3,-5,6.1,NA,0.3,83.5,0.4,4.4,0.1,-6,NA,NA,NA,NA,NA,80.202
2006-01-02,1.9,-2.2,6.6,NA,1.7,73.8,3,9.69,1.1,-3.5,NA,NA,7500,6300,38000,80.202
2006-01-03,0.2,-3,5,NA,2.9,45.5,5.4,9.76,1.2,-4.4,NA,NA,7500,6300,531454,80.202
2006-01-04,-1.4,-4,0.8,NA,1.9,46.4,0,2.08,0.1,-4.5,NA,NA,7500,6300,287000,80.202
2006-01-05,-4.8,-7.4,0.1,NA,2.8,51,7.6,11.33,-0.7,-7.8,NA,NA,7500,6300,332350,80.202
2006-01-06,-3.3,-6.9,0.6,0,2.8,57.1,4.5,7.94,-0.8,-7.6,NA,NA,7500,6300,374542,80.202
2006-01-07,-3.9,-8.5,1.3,0,2.5,58,8.2,11.57,-1.4,-9.1,NA,NA,NA,NA,366918,80.202
2006-01-08,-2.4,-7.6,5.6,NA,1.2,66.3,7.7,10.74,-0.8,-9.1,NA,NA,NA,NA,NA,80.202
2006-01-09,-2.1,-8,5.5,NA,0.6,77.6,2.6,9.55,-0.7,-9.1,NA,NA,7100,6400,746916,80.202
2006-01-10,-1.4,-7.1,7,NA,0.9,78.5,7.8,10.07,0.2,-8.5,NA,NA,7100,6400,256640,80.202
2006-01-11,-2.3,-8.3,9.5,NA,0.5,74.4,7.1,10.19,-0.3,-9.5,NA,NA,7100,6400,206096,80.202
2006-01-12,1.6,-8.6,10.1,NA,1.3,68.8,1.9,7.28,0.4,-9.6,NA,NA,7100,6400,349922,80.202
2006-01-13,7.2,4.5,10.5,12.5,0.6,98.3,0,3.08,5.3,2.8,NA,NA,6400,5700,241940,80.202
2006-01-14,5.8,3.2,8,NA,0.8,89.3,0.1,2.6,5.9,0.6,NA,NA,NA,NA,80540,80.202
2006-01-15,3.7,-0.6,9.8,NA,0.4,90.4,1.6,2.54,4.8,-2.4,NA,NA,6400,5700,NA,80.202
2006-01-16,1.7,-0.6,4.4,0.5,0.5,93.8,0,1.71,3.7,-2.4,NA,NA,6400,5700,391438,80.202
2006-01-17,2.7,-3.2,9.6,NA,0.7,74.1,4.3,9.59,3.7,-4.8,NA,NA,6400,5700,224180,80.202
2006-01-18,3.6,-1,10.6,NA,0.8,67.9,4.7,8.95,4.7,-2.4,NA,NA,5700,5000,301060,80.202
2006-01-19,3,-2,9.1,NA,0.8,72,0.6,5.81,3.4,-2.7,NA,NA,5700,5000,228410,80.202
2006-01-20,2,-2.4,9.1,NA,0.6,70.6,3.1,7.06,3.7,-4.3,NA,NA,5700,5000,199300,80.202
2006-01-21,1.1,-3.2,9.6,NA,1,66.8,5.7,11.89,2.8,-4.9,NA,NA,NA,NA,132584,80.202
2006-01-22,-1.3,-6,6.1,NA,2.9,57.9,8.6,11.44,1.3,-8.1,NA,NA,NA,NA,10000,80.202
2006-01-23,-2.1,-7.9,6.5,NA,1.6,55.5,8.7,13.86,0.9,-8.6,NA,NA,5700,5000,1020214,80.202
2006-01-24,-3.1,-8.8,6.3,NA,1.1,61.8,8.3,13.59,0.6,-10.3,NA,NA,5700,5000,276830,80.202
2006-01-25,-0.8,-6.5,8.3,NA,1.1,56.1,7.9,12.27,0.9,-8,NA,NA,5700,5000,228100,80.202
2006-01-26,-0.1,-7.6,8.8,NA,1.4,69.6,8.3,8.99,2,-8.6,NA,NA,5700,5000,243773,80.202
2006-01-27,0.3,-4.9,8.6,NA,1.5,71.4,6.3,10.62,1.7,-6.8,NA,NA,5700,5000,218630,80.202
2006-01-28,0,-8.6,11.1,NA,0.9,71.5,8.7,13.98,1.6,-10.1,NA,NA,NA,NA,17260,80.202
2006-01-29,2.4,-6.1,12.3,NA,0.6,75.3,4.9,9.16,2.2,-7.5,NA,NA,NA,NA,NA,80.202
2006-01-30,5.3,-0.4,11.3,0,0.4,82.3,0,3.16,4.7,-2.2,NA,NA,NA,NA,NA,80.202
2006-01-31,7.2,5.1,12.3,8.5,0.7,91.6,0.8,4.2,7.9,4.7,NA,NA,5700,5000,NA,80.202
2006-02-01,2.2,-3,6.3,4,2.7,79.5,2.4,7.14,4.8,-4.3,NA,NA,5700,5000,359320,80.202
2006-02-02,0.2,-4.5,6.9,NA,1.8,69,3.7,10.27,2,-5.5,NA,NA,5700,5000,62630,80.202
2006-02-03,-5.6,-10.1,0.8,NA,3.8,52.4,9.2,9.65,0.9,-10.8,NA,NA,7100,6400,177620,80.202
2006-02-04,-6.2,-13.8,2,NA,2.2,59.1,9,13.87,-1.2,-14.1,NA,NA,NA,NA,35455,80.202
2006-02-05,-3.3,-11,3.5,0.1,1,59,5.2,11.17,-0.4,-11.6,NA,NA,NA,NA,NA,80.202
2006-02-06,0.7,-2.7,6.9,2.8,0.5,87.1,2.8,9.42,0,-2.8,NA,NA,7100,6400,475821,80.202
2006-02-07,0.5,-2.2,2.5,6.5,2.8,86.3,0.1,3.62,0.9,-2.5,NA,NA,7100,6400,106030,80.202
2006-02-08,-3.5,-5.5,-0.6,0.7,4.5,69.6,3.4,11.62,0.9,-5.7,NA,NA,7900,7100,214476,80.202
2006-02-09,-4,-8.3,1.7,0,2,67.3,9.3,16.76,1.1,-9.5,NA,NA,7900,7100,209510,80.202
2006-02-10,-0.8,-7.6,4,NA,0.9,81.3,0.6,7.2,0.6,-9,NA,NA,7900,7100,233060,80.202
2006-02-11,1.8,-2.7,9.1,NA,1.1,77.9,4.2,9.42,2.6,-5,NA,NA,NA,NA,125300,80.202
2006-02-12,0.1,-5.4,6.8,NA,2.3,52.3,9.4,17.24,2.3,-7.3,NA,NA,NA,NA,NA,80.202
2006-02-13,2,-8.3,14.8,NA,1,72.3,9.3,17.2,3.4,-9.3,NA,NA,7900,7100,271310,80.202
2006-02-14,7.7,3.2,14.6,13.5,1,91.3,0.8,2.38,7.1,1.5,NA,NA,7100,6400,284319,80.202
2006-02-15,3.9,1.7,6.8,1.5,0.6,93.5,0,1.63,4.2,-0.6,NA,NA,7100,6400,181620,80.202
2006-02-16,3.6,-0.3,8.6,0,2.1,71,0.1,5.66,4.7,-1.2,NA,NA,7100,6400,180330,80.202
2006-02-17,-2.2,-5,1.7,NA,3.7,43,9.5,17.56,1.7,-6.3,NA,NA,7100,6400,231612,80.202
2006-02-18,-0.9,-7,7.3,NA,1.1,64.1,5.5,12.06,1,-8.3,NA,NA,NA,NA,588510,80.202
2006-02-19,0.6,-6.6,10.5,NA,0.6,71.9,3.6,11.86,3.1,-8.1,NA,NA,NA,NA,NA,80.202
2006-02-20,3.5,-4.9,13.8,NA,0.7,65.1,8.6,16.34,4.5,-6.5,NA,NA,7100,6400,802835,80.202
2006-02-21,4.6,-4.5,16.7,NA,0.8,65.1,8.6,17.02,5.4,-6.5,NA,NA,7100,6400,180245,80.202
2006-02-22,2.5,-1.2,6.3,0.5,1.3,72.3,0,4.8,3.2,-2.7,NA,NA,6400,5700,301045,80.202
2006-02-23,3.1,-4.1,12.8,NA,1.4,51.4,9.8,18.45,4.6,-6.4,NA,NA,6400,5700,136240,80.202
2006-02-24,5.3,-2,16,NA,0.9,49.3,9.5,18.2,6.3,-4,NA,NA,6400,5700,300760,80.202
2006-02-25,4.6,-2.7,12.1,15.5,0.8,81.8,0,6.64,4.2,-3.5,NA,NA,NA,NA,150390,80.202
2006-02-26,4.2,-2.5,9,0.5,2.9,60.4,8.2,17.7,6.9,-3.2,NA,NA,NA,NA,NA,80.202
2006-02-27,1.3,-5.4,10.1,NA,1.1,49.4,9.6,15.6,3.9,-6.4,NA,NA,6400,5700,304572,80.202
2006-02-28,1.6,-2.7,8.1,2.5,0.5,77.8,0,5.35,2.9,-3.7,NA,NA,7100,5700,418215,80.202
2006-03-01,1.5,0.3,4.5,0.5,2.6,74.5,2.3,9.24,3.9,-0.2,NA,NA,NA,NA,563170,80.202
2006-03-02,0.2,-4.1,5.5,0.1,3,64,3.6,16.11,2.4,-5.6,NA,NA,7900,6400,668906,80.202
2006-03-03,-0.1,-6.4,7.9,0,1.4,67,10.1,17.28,3.4,-7.5,NA,NA,8600,7100,328350,80.202
2006-03-04,2.4,-7.5,13.3,NA,1.1,62.6,10,18.61,4.6,-8.3,NA,NA,NA,NA,134520,80.202
2006-03-05,8.3,0.6,17.7,NA,0.9,75,1,9.95,7.1,-1.6,NA,NA,NA,NA,NA,80.202
2006-03-06,10.5,4.4,18.7,1,1.1,75.1,5,9.95,10.4,2.4,NA,NA,8600,7100,264485,80.202
2006-03-07,10.2,4.4,18.2,NA,1.4,73.4,6.4,14.98,10.6,2.5,NA,NA,8600,7100,289700,80.202
2006-03-08,9.9,2.4,19.3,NA,0.8,59.5,5.7,14.92,11.1,0.5,NA,NA,8600,7100,140095,80.202
2006-03-09,7.3,2.4,15.1,NA,0.7,73.4,0,6.46,8,0.8,NA,NA,8600,7100,184582,80.202
2006-03-10,8.8,-1.1,20.6,NA,1.2,69,8.6,18.36,9.4,-2.2,NA,NA,8600,7100,220470,80.202
2006-03-11,8.1,6.3,11,NA,1.3,79.3,0,2.46,8.3,4.9,NA,NA,NA,NA,506560,80.202
2006-03-12,-0.4,-4.9,6.3,0,5.2,49.3,5.1,12.73,4.6,-5.4,NA,NA,NA,NA,NA,80.202
2006-03-13,-1.7,-8.3,4.5,0.3,2.5,62.1,5.2,16.28,1.7,-9.8,NA,NA,8600,7100,272065,80.202
2006-03-14,2.1,-2,8.6,0.2,3.1,49.5,9.1,20.04,5.1,-4.4,NA,NA,8600,7100,157130,80.202
