date,avg_temper,low_temper,high_temper,rainfall,avg_ws,avg_rehumi,total_sunhine,total_sunradi,avg_landtemper,low_grasstemper,avg_humid,day_soilwater,shipments,CPI,hq_price
20060102,1.9,-2.2,6.6,8.201994302,1.7,73.8,3,9.69,1.1,-3.5,71.31120079,18.51768627,38000,80.202,7500
20060103,0.2,-3,5,8.201994302,2.9,45.5,5.4,9.76,1.2,-4.4,71.31120079,18.51768627,531454,80.202,7500
20060104,-1.4,-4,0.8,8.201994302,1.9,46.4,0,2.08,0.1,-4.5,71.31120079,18.51768627,287000,80.202,7500
20060105,-4.8,-7.4,0.1,8.201994302,2.8,51,7.6,11.33,-0.7,-7.8,71.31120079,18.51768627,332350,80.202,7500
20060106,-3.3,-6.9,0.6,0,2.8,57.1,4.5,7.94,-0.8,-7.6,71.31120079,18.51768627,374542,80.202,7500
20060109,-2.1,-8,5.5,8.201994302,0.6,77.6,2.6,9.55,-0.7,-9.1,71.31120079,18.51768627,746916,80.202,7100
20060110,-1.4,-7.1,7,8.201994302,0.9,78.5,7.8,10.07,0.2,-8.5,71.31120079,18.51768627,256640,80.202,7100
20060111,-2.3,-8.3,9.5,8.201994302,0.5,74.4,7.1,10.19,-0.3,-9.5,71.31120079,18.51768627,206096,80.202,7100
20060112,1.6,-8.6,10.1,8.201994302,1.3,68.8,1.9,7.28,0.4,-9.6,71.31120079,18.51768627,349922,80.202,7100
20060113,7.2,4.5,10.5,12.5,0.6,98.3,0,3.08,5.3,2.8,71.31120079,18.51768627,241940,80.202,6400
20060115,3.7,-0.6,9.8,8.201994302,0.4,90.4,1.6,2.54,4.8,-2.4,71.31120079,18.51768627,269464.1337,80.202,6400
20060116,1.7,-0.6,4.4,0.5,0.5,93.8,0,1.71,3.7,-2.4,71.31120079,18.51768627,391438,80.202,6400
20060117,2.7,-3.2,9.6,8.201994302,0.7,74.1,4.3,9.59,3.7,-4.8,71.31120079,18.51768627,224180,80.202,6400
20060118,3.6,-1,10.6,8.201994302,0.8,67.9,4.7,8.95,4.7,-2.4,71.31120079,18.51768627,301060,80.202,5700
20060119,3,-2,9.1,8.201994302,0.8,72,0.6,5.81,3.4,-2.7,71.31120079,18.51768627,228410,80.202,5700
20060120,2,-2.4,9.1,8.201994302,0.6,70.6,3.1,7.06,3.7,-4.3,71.31120079,18.51768627,199300,80.202,5700
20060123,-2.1,-7.9,6.5,8.201994302,1.6,55.5,8.7,13.86,0.9,-8.6,71.31120079,18.51768627,1020214,80.202,5700
20060124,-3.1,-8.8,6.3,8.201994302,1.1,61.8,8.3,13.59,0.6,-10.3,71.31120079,18.51768627,276830,80.202,5700
20060125,-0.8,-6.5,8.3,8.201994302,1.1,56.1,7.9,12.27,0.9,-8,71.31120079,18.51768627,228100,80.202,5700
20060126,-0.1,-7.6,8.8,8.201994302,1.4,69.6,8.3,8.99,2,-8.6,71.31120079,18.51768627,243773,80.202,5700
20060127,0.3,-4.9,8.6,8.201994302,1.5,71.4,6.3,10.62,1.7,-6.8,71.31120079,18.51768627,218630,80.202,5700
20060131,7.2,5.1,12.3,8.5,0.7,91.6,0.8,4.2,7.9,4.7,71.31120079,18.51768627,269464.1337,80.202,5700
20060201,2.2,-3,6.3,4,2.7,79.5,2.4,7.14,4.8,-4.3,71.31120079,18.51768627,359320,80.202,5700
20060202,0.2,-4.5,6.9,8.201994302,1.8,69,3.7,10.27,2,-5.5,71.31120079,18.51768627,62630,80.202,5700
20060203,-5.6,-10.1,0.8,8.201994302,3.8,52.4,9.2,9.65,0.9,-10.8,71.31120079,18.51768627,177620,80.202,7100
20060206,0.7,-2.7,6.9,2.8,0.5,87.1,2.8,9.42,0,-2.8,71.31120079,18.51768627,475821,80.202,7100
20060207,0.5,-2.2,2.5,6.5,2.8,86.3,0.1,3.62,0.9,-2.5,71.31120079,18.51768627,106030,80.202,7100
20060208,-3.5,-5.5,-0.6,0.7,4.5,69.6,3.4,11.62,0.9,-5.7,71.31120079,18.51768627,214476,80.202,7900
20060209,-4,-8.3,1.7,0,2,67.3,9.3,16.76,1.1,-9.5,71.31120079,18.51768627,209510,80.202,7900
20060210,-0.8,-7.6,4,8.201994302,0.9,81.3,0.6,7.2,0.6,-9,71.31120079,18.51768627,233060,80.202,7900
20060213,2,-8.3,14.8,8.201994302,1,72.3,9.3,17.2,3.4,-9.3,71.31120079,18.51768627,271310,80.202,7900
20060214,7.7,3.2,14.6,13.5,1,91.3,0.8,2.38,7.1,1.5,71.31120079,18.51768627,284319,80.202,7100
20060215,3.9,1.7,6.8,1.5,0.6,93.5,0,1.63,4.2,-0.6,71.31120079,18.51768627,181620,80.202,7100
20060216,3.6,-0.3,8.6,0,2.1,71,0.1,5.66,4.7,-1.2,71.31120079,18.51768627,180330,80.202,7100
20060217,-2.2,-5,1.7,8.201994302,3.7,43,9.5,17.56,1.7,-6.3,71.31120079,18.51768627,231612,80.202,7100
20060220,3.5,-4.9,13.8,8.201994302,0.7,65.1,8.6,16.34,4.5,-6.5,71.31120079,18.51768627,802835,80.202,7100
20060221,4.6,-4.5,16.7,8.201994302,0.8,65.1,8.6,17.02,5.4,-6.5,71.31120079,18.51768627,180245,80.202,7100
20060222,2.5,-1.2,6.3,0.5,1.3,72.3,0,4.8,3.2,-2.7,71.31120079,18.51768627,301045,80.202,6400
20060223,3.1,-4.1,12.8,8.201994302,1.4,51.4,9.8,18.45,4.6,-6.4,71.31120079,18.51768627,136240,80.202,6400
20060224,5.3,-2,16,8.201994302,0.9,49.3,9.5,18.2,6.3,-4,71.31120079,18.51768627,300760,80.202,6400
20060227,1.3,-5.4,10.1,8.201994302,1.1,49.4,9.6,15.6,3.9,-6.4,71.31120079,18.51768627,304572,80.202,6400
20060228,1.6,-2.7,8.1,2.5,0.5,77.8,0,5.35,2.9,-3.7,71.31120079,18.51768627,418215,80.202,7100
20060302,0.2,-4.1,5.5,0.1,3,64,3.6,16.11,2.4,-5.6,71.31120079,18.51768627,668906,80.202,7900
20060303,-0.1,-6.4,7.9,0,1.4,67,10.1,17.28,3.4,-7.5,71.31120079,18.51768627,328350,80.202,8600
20060306,10.5,4.4,18.7,1,1.1,75.1,5,9.95,10.4,2.4,71.31120079,18.51768627,264485,80.202,8600
20060307,10.2,4.4,18.2,8.201994302,1.4,73.4,6.4,14.98,10.6,2.5,71.31120079,18.51768627,289700,80.202,8600
20060308,9.9,2.4,19.3,8.201994302,0.8,59.5,5.7,14.92,11.1,0.5,71.31120079,18.51768627,140095,80.202,8600
20060309,7.3,2.4,15.1,8.201994302,0.7,73.4,0,6.46,8,0.8,71.31120079,18.51768627,184582,80.202,8600
20060310,8.8,-1.1,20.6,8.201994302,1.2,69,8.6,18.36,9.4,-2.2,71.31120079,18.51768627,220470,80.202,8600
20060313,-1.7,-8.3,4.5,0.3,2.5,62.1,5.2,16.28,1.7,-9.8,71.31120079,18.51768627,272065,80.202,8600
20060314,2.1,-2,8.6,0.2,3.1,49.5,9.1,20.04,5.1,-4.4,71.31120079,18.51768627,157130,80.202,8600
20060315,5.5,-5.5,15.1,8.201994302,1.2,50,8.7,18.49,6.5,-6.6,71.31120079,18.51768627,690250,80.202,8600
20060316,4.2,1.6,6.6,5,1.5,88.3,0,4.48,6.3,0.6,71.31120079,18.51768627,170895,80.202,8600
20060317,8.8,-1.2,21.5,8.201994302,0.9,66.4,7.6,20.32,8.4,-2.5,71.31120079,18.51768627,117140,80.202,8600
20060320,5.3,-4.5,17.1,8.201994302,0.8,53,9.9,20.8,6.6,-6,71.31120079,18.51768627,173004,80.202,8600
20060321,9.5,0.2,20.3,8.201994302,1,61.3,9.3,20.45,10.8,-1.7,71.31120079,18.51768627,282242,80.202,8600
20060322,10.3,2,21.1,8.201994302,1.2,64.6,8,21.02,12.2,-0.2,71.31120079,18.51768627,214885,80.202,8600
20060323,7.8,-0.1,15.6,8.201994302,3.4,45.3,9.1,21.72,9.9,-2.4,71.31120079,18.51768627,140970,80.202,9300
20060324,5.2,-4.5,15.5,8.201994302,1.5,51.3,10.1,20.23,8.4,-6.1,71.31120079,18.51768627,66360,80.202,9300
20060327,9,0.8,19.7,8.201994302,1,48.4,10.1,21.67,11.3,-0.3,71.31120079,18.51768627,244870,80.202,9300
20060328,3.3,0.8,7.5,0.5,3.8,61.1,3,12.11,6,-0.6,71.31120079,18.51768627,188160,80.202,9300
20060329,6.1,-3.5,13,8.201994302,2.2,48.3,10.7,22.76,8.5,-5.4,71.31120079,18.51768627,222680,80.202,9300
20060330,6.3,-0.6,12.3,8.201994302,3.5,44.9,10.8,24.54,10.2,-2.9,71.31120079,18.51768627,29270,80.202,9300
20060331,7.2,-4.6,19.5,8.201994302,1.4,57,10.7,22.87,9.8,-6,71.31120079,18.51768627,74134,80.202,9300
20060403,10.5,-0.5,22.1,8.201994302,1,72.6,7.6,20.85,11.6,-1.8,71.31120079,18.51768627,87542,80.202,9300
