time,price
2006-01-02,7500
2006-01-03,7500
2006-01-04,7500
2006-01-05,7500
2006-01-06,7500
2006-01-09,7100
2006-01-10,7100
2006-01-11,7100
2006-01-12,7100
2006-01-13,6400
2006-01-15,6400
2006-01-16,6400
2006-01-17,6400
2006-01-18,5700
2006-01-19,5700
2006-01-20,5700
2006-01-23,5700
2006-01-24,5700
2006-01-25,5700
2006-01-26,5700
2006-01-27,5700
2006-01-31,5700
2006-02-01,5700
2006-02-02,5700
2006-02-03,7100
2006-02-06,7100
2006-02-07,7100
2006-02-08,7900
2006-02-09,7900
2006-02-10,7900
2006-02-13,7900
2006-02-14,7100
2006-02-15,7100
2006-02-16,7100
2006-02-17,7100
2006-02-20,7100
2006-02-21,7100
2006-02-22,6400
2006-02-23,6400
2006-02-24,6400
2006-02-27,6400
2006-02-28,7100
2006-03-02,7900
2006-03-03,8600
2006-03-06,8600
2006-03-07,8600
2006-03-08,8600
2006-03-09,8600
2006-03-10,8600
2006-03-13,8600
2006-03-14,8600
2006-03-15,8600
2006-03-16,8600
2006-03-17,8600
2006-03-20,8600
2006-03-21,8600
2006-03-22,8600
2006-03-23,9300
2006-03-24,9300
2006-03-27,9300
2006-03-28,9300
2006-03-29,9300
2006-03-30,9300
2006-03-31,9300
2006-04-03,9300
2006-04-04,9300
2006-04-05,9300
2006-04-06,9300
2006-04-07,9300
2006-04-10,9300
2006-04-11,9300
2006-04-12,9300
2006-04-13,9300
2006-04-14,9300
2006-04-17,8600
2006-04-18,8600
2006-04-19,8600
2006-04-20,9300
2006-04-21,9300
2006-04-24,9300
2006-04-25,9300
2006-04-26,8600
2006-04-27,8600
2006-04-28,8600
2007-01-15,2900
2007-01-16,2900
2007-01-17,2500
2007-01-18,2500
2007-01-19,2500
2007-01-22,2500
2007-01-23,2500
2007-01-24,2100
2007-01-25,2100
2007-01-26,2100
2007-01-29,2100
2007-01-30,2100
2007-01-31,2100
2007-02-01,2100
2007-02-02,2100
2007-02-05,2100
2007-02-06,2100
2007-02-07,2100
2007-02-08,2100
2007-02-09,2100
2007-02-12,1700
2007-02-13,1700
2007-02-14,1700
2007-02-15,1700
2007-02-16,1700
2007-02-20,1700
2007-02-21,1700
2007-02-22,2100
2007-02-23,2100
2007-02-26,2100
2007-02-27,2100
2007-02-28,2100
2007-03-02,2100
2007-03-05,2100
2007-03-06,2100
2007-03-07,2100
2007-03-08,2500
2007-03-09,2500
2007-03-12,2100
2007-03-13,2100
2007-03-14,2100
2007-03-15,2100
2007-03-16,2100
2007-03-19,2500
2007-03-20,2500
2007-03-21,2500
2007-03-22,2900
2007-03-23,2900
2007-03-26,2900
2007-03-27,2900
2007-03-28,2900
2007-03-29,2900
2007-03-30,3300
2007-04-02,2900
2007-04-03,2900
2007-04-04,2900
2007-04-05,2900
2007-04-06,2900
2007-04-09,2500
2007-04-10,2500
2007-04-11,2500
2007-04-12,2500
2007-04-13,2500
2007-04-16,2900
2007-04-17,2900
2007-04-18,2900
2007-04-19,2900
2007-04-20,2900
2007-04-23,2900
2007-04-24,2900
2007-04-25,2900
2007-04-26,2900
2007-04-27,2900
2007-04-30,2900
2008-01-08,5000
2008-01-09,5000
2008-01-10,5000
2008-01-11,5000
2008-01-14,5000
2008-01-15,5000
2008-01-16,5000
2008-01-17,5000
2008-01-18,5000
2008-01-21,5000
2008-01-22,5000
2008-01-23,5000
2008-01-24,5000
2008-01-25,5000
2008-01-28,4200
2008-01-29,4200
2008-01-30,4200
2008-01-31,4200
2008-02-01,4200
2008-02-04,4200
2008-02-05,4200
2008-02-11,4200
2008-02-12,4200
2008-02-13,4200
2008-02-14,4200
2008-02-15,4200
2008-02-18,4200
2008-02-19,4200
2008-02-20,4200
2008-02-21,3300
2008-02-22,3300
2008-02-25,3300
2008-02-26,3300
2008-02-27,3300
2008-02-28,3300
2008-02-29,4200
2008-03-03,4200
2008-03-04,4200
2008-03-05,4200
2008-03-06,3300
2008-03-07,3300
2008-03-10,3300
2008-03-11,3800
2008-03-12,3800
2008-03-13,3800
2008-03-14,3800
2008-03-17,3800
2008-03-18,3300
2008-03-19,3300
2008-03-20,3300
2008-03-21,3300
2008-03-24,3300
2008-03-25,3300
2008-03-26,4200
2008-03-27,4200
2008-03-28,4200
2008-03-31,5000
2008-04-01,5000
2008-04-02,5000
2008-04-03,5000
2008-04-04,5000
2008-04-07,5000
2008-04-08,5000
2008-04-10,5000
2008-04-11,5000
2008-04-14,5000
2008-04-15,5000
2008-04-16,5000
2008-04-17,5000
2008-04-18,5000
2008-04-21,5000
2008-04-22,5000
2008-04-23,5000
2008-04-24,4200
2008-04-25,4200
2008-04-28,5000
2008-04-29,5000
2008-04-30,5000
2009-01-15,4000
2009-01-16,4000
2009-01-19,4000
2009-01-20,4000
2009-01-21,4000
2009-01-22,4000
2009-01-23,4000
2009-01-28,4000
2009-01-29,4000
2009-01-30,4000
2009-02-02,4000
2009-02-03,4000
2009-02-04,4000
2009-02-05,4000
2009-02-06,3500
2009-02-09,3500
2009-02-10,3500
2009-02-11,3500
2009-02-12,3500
2009-02-13,3500
2009-02-16,3500
2009-02-17,3500
2009-02-18,4000
2009-02-19,4000
2009-02-20,4000
2009-02-23,4000
2009-02-24,4500
2009-02-25,4500
2009-02-26,4500
2009-03-02,5000
2009-03-03,5500
2009-03-04,6000
2009-03-05,6000
2009-03-06,6000
2009-03-09,6000
2009-03-10,6000
2009-03-11,5500
2009-03-12,5500
2009-03-13,6000
2009-03-16,6000
2009-03-17,6000
2009-03-18,6000
2009-03-19,6000
2009-03-20,6500
2009-03-23,6500
2009-03-24,6500
2009-03-25,6500
2009-03-26,6500
2009-03-27,7000
2009-03-30,7000
2009-03-31,7500
2009-04-01,7500
2009-04-02,8000
2009-04-03,9000
2009-04-06,8000
2009-04-07,9500
2009-04-08,9500
2009-04-09,10000
2009-04-10,10000
2009-04-13,10000
2009-04-14,10000
2009-04-15,12000
2009-04-16,12000
2009-04-17,12000
2009-04-20,12000
2009-04-21,12000
2009-04-22,12000
2009-04-23,13000
2009-04-24,13000
2009-04-27,15000
2009-04-28,16000
2009-04-29,16000
2009-04-30,16000
2010-01-20,5000
2010-01-21,5000
2010-01-22,5300
2010-01-25,5300
2010-01-26,5300
2010-01-27,5000
2010-01-28,5000
2010-01-29,5000
2010-02-01,5500
2010-02-02,6000
2010-02-03,6500
2010-02-04,6500
2010-02-05,7000
2010-02-08,8500
2010-02-09,8500
2010-02-10,8500
2010-02-11,8000
2010-02-12,8000
2010-02-16,8000
2010-02-17,8500
2010-02-18,8500
2010-02-19,8500
2010-02-22,8500
2010-02-23,8500
2010-02-24,8000
2010-02-25,8000
2010-02-26,8000
2010-03-02,8000
2010-03-03,8500
2010-03-04,9000
2010-03-05,10000
2010-03-08,10000
2010-03-09,10000
2010-03-10,10000
2010-03-11,10000
2010-03-12,10000
2010-03-15,10000
2010-03-16,10000
2010-03-17,10000
2010-03-18,10000
2010-03-19,11000
2010-03-22,11000
2010-03-23,11000
2010-03-24,15000
2010-03-25,15000
2010-03-26,15000
2010-03-29,15000
2010-03-30,15000
2010-03-31,15000
2010-04-01,15000
2010-04-02,15000
2010-04-05,15000
2010-04-06,15000
2010-04-07,15000
2010-04-08,15000
2010-04-09,15000
2010-04-12,14000
2010-04-13,14000
2010-04-14,13000
2010-04-15,13000
2010-04-16,15000
2010-04-19,15000
2010-04-20,14000
2010-04-21,14000
2010-04-22,14000
2010-04-23,13000
2010-04-26,13000
2010-04-27,13000
2010-04-28,13000
2010-04-29,13000
2010-04-30,13000
2011-01-01,12000
2011-01-02,12000
2011-01-03,13000
2011-01-04,14000
2011-01-05,14000
2011-01-08,13000
2011-01-09,13000
2011-01-10,13000
2011-01-11,13000
2011-01-12,13000
2011-01-15,13000
2011-01-16,13000
2011-01-17,13000
2011-01-18,13000
2011-01-19,13000
2011-01-22,13000
2011-01-23,13000
2011-01-24,13000
2011-01-25,13000
2011-01-26,13000
2011-01-29,13000
2011-01-30,13000
2011-02-05,11000
2011-02-06,11000
2011-02-07,11000
2011-02-08,11000
2011-02-09,11000
2011-02-12,12000
2011-02-13,12000
2011-02-14,12000
2011-02-15,12000
2011-02-16,12000
2011-02-19,13000
2011-02-20,13000
2011-02-21,13000
2011-02-22,13000
2011-02-23,13000
2011-02-26,13000
2011-02-28,14000
2011-03-01,14000
2011-03-02,14000
2011-03-05,14000
2011-03-06,14000
2011-03-07,14000
2011-03-08,14000
2011-03-09,14000
2011-03-12,13000
2011-03-13,13000
2011-03-14,14000
2011-03-15,14000
2011-03-16,13000
2011-03-19,13000
2011-03-20,13000
2011-03-21,13000
2011-03-22,13000
2011-03-23,13000
2011-03-26,12000
2011-03-27,12000
2011-03-28,12000
2011-03-29,12000
2011-03-30,12000
2011-04-02,12000
2011-04-03,12000
2011-04-04,12000
2011-04-05,11000
2011-04-06,11000
2011-04-09,11000
2011-04-10,11000
2011-04-11,10000
2011-04-12,9000
2011-04-13,8000
2011-04-16,8000
2011-04-17,7000
2011-04-18,7000
2011-04-19,7000
2011-04-20,7000
2011-04-23,7000
2011-04-24,7000
2011-04-25,7000
2011-04-26,7000
2011-04-27,7000
2012-01-05,3500
2012-01-06,3500
2012-01-09,3500
2012-01-10,3500
2012-01-11,3500
2012-01-12,3500
2012-01-13,3500
2012-01-16,3000
2012-01-17,3000
2012-01-18,3000
2012-01-19,3000
2012-01-20,3000
